SN,Lastname,Firstname,Gender,Height,Weight,Passport ID,Country,Job Title,Income Annual,Hobby,Car Brand,Age,Num Covid Shots
70,Castillo,Shirley,F,1.67,39.32,K5988129V,Finland,Door-Closer Mechanic,31045,Socializing,-,33.0,0.0
71,Hardy,Cynthia,F,1.61,47.46,21337893V,Spain,Press Helper,27465,Tennis,-,29.0,1.0
72,Hughes,Lauren,F,1.55,47.39,03914966O,Japan,Wastewater-Treatment-Plant Attendant,52057,Watching TV,-,37.0,1.0
73,Reid,Betty,F,1.8,42.28,Q8332900R,India,Wrapper Selector,19913,Gardening,-,33.0,1.0
74,Douglas,Beverly,F,1.5,45.02,86303211O,Slovakia,Foot Straightener,41436,Reading,-,31.0,0.0
75,Herrera,Sarah,F,1.5,42.01,Y6908212K,Latvia,Salvage Repairer Ii,135747,Walking,Mini,31.0,2.0
76,Carr,Larry,M,1.7,65.68,86511215H,Croatia,Dust-Mop Maker,8138,Boating,-,27.0,2.0
77,Contreras,Vincent,M,1.87,71.01,T5707470S,Japan,Hair-Sample Matcher,44144,Theater,Alfa Romeo,26.0,0.0
78,Hart,Gregory,M,1.94,60.12,A3821286T,France,"Assembler, Internal Combustion Engine",66057,Listening to Music,-,32.0,2.0
79,Goodman,Lisa,F,1.67,47.62,03789304B,Canada,Enrobing-Machine Operator,118365,Reading,-,38.0,0.0
80,Hogan,Jacqueline,F,1.62,51.17,39503756P,Egypt,Lubrication-Equipment Servicer,112683,Volunteer Work,-,33.0,1.0
81,Moran,Helen,F,1.67,40.31,N8384027Q,Germany,Relay-Record Clerk,12702,Beach,-,34.0,1.0
82,Tucker,Elizabeth,F,1.67,41.77,20018828O,Mexico,Accounting Director,47334,Reading,Maserati,32.0,0.0
83,Whitfield,Deborah,F,1.63,39.32,72689525C,Croatia,Motor-And-Generator-Brush Maker,32300,Going to Movies,-,38.0,0.0
84,Kim,Jeremy,M,1.89,49.63,B3320189H,Turkey,"Supervisor, Shop",92621,Writing,-,24.0,1.0
85,Fry,Roger,M,1.62,63.62,67402998X,Brazil,Covering-Machine Operator,25924,Skiing,-,19.0,1.0
86,Lara,Melissa,F,1.73,53.19,06457183Z,Czechia,Clarifier Operator,23246,Entertaining,-,35.0,0.0
87,Vinson,Bryan,M,1.54,59.78,U2819274T,Croatia,"Sales Representative, Advertising",59615,Horseback Riding,-,21.0,0.0
88,Mitchell,Janet,F,1.55,46.16,P2563941R,Russia,Skein-Yarn Drier,10476,Watching Sports,-,42.0,1.0
89,Solomon,Gregory,M,1.94,48.36,A9485092E,Croatia,Glued Wood Tester,43536,Tennis,-,26.0,1.0
90,Barrera,Billy,M,1.7,57.74,C9005734N,Belgium,"Supervisor, Brineyard",42009,Eating Out,-,43.0,1.0
91,Bond,Nicole,F,1.54,41.16,E1294147N,France,Rug Cleaner,13917,Golf,-,28.0,0.0
92,Kent,Angela,F,1.68,42.32,N5752891J,Australia,Case Finisher,72920,Beach,-,39.0,1.0
93,Juarez,Henry,M,1.61,60.51,82766270L,United Kingdom,Recreation-Facility Attendant,88201,Shopping,Mazda,39.0,1.0
94,Owens,Danielle,F,1.54,46.19,45901587L,Japan,Grinding-Wheel Inspector,64882,Tennis,-,30.0,0.0
95,Garza,Gabriel,M,1.73,48.36,U4411625I,Singapore,Millwright,57482,Motorcycling,-,33.0,0.0
96,Kerr,Michelle,F,1.68,40.48,09626678M,Germany,Churn Tender,17076,Sewing,-,30.0,0.0
97,Edwards,Aaron,M,1.92,70.93,31968808V,Luxembourg,Account Collector,52088,Playing Music,Fiat,41.0,1.0
98,Snider,Megan,F,1.39,39.32,I9775727J,Finland,Salon Manager,56636,Swimming,-,34.0,0.0
99,Le,Janet,F,1.57,39.32,A0405786A,Ireland,Road-Roller Operator,88886,Beach,-,27.0,1.0
100,Kennedy,Brandon,M,1.88,59.09,L3711153I,United Kingdom,"Supervisor, Yarn Preparation",62950,Exercise,-,21.0,1.0
101,Sykes,Emma,F,1.76,46.92,B8205729K,Italy,"Sales Agent, Pest Control Service",70668,Exercise,-,22.0,0.0
102,Rosales,Timothy,M,1.58,66.41,58445721F,Slovakia,Dental-Amalgam Processor,15697,Housework,-,36.0,0.0
103,Kane,Teresa,F,1.58,39.32,Q0963540Y,Croatia,Electrotype Servicer,23729,Entertaining,-,35.0,0.0
104,Grimes,George,M,1.52,51.5,J0365855K,Netherlands,Scrap Baller,6851,Hunting,-,22.0,1.0
105,Webb,Steven,M,1.66,64.81,K5770055I,Italy,Tool Dresser,16209,Walking,-,32.0,1.0
106,Lane,Alexis,F,1.47,50.34,Z7279112D,Hungary,Septic-Tank Installer,13280,Watching Sports,-,22.0,1.0
107,Rutledge,Ronald,M,1.85,53.05,86654406H,Portugal,Brim Curler,36624,Gardening,-,27.0,2.0
108,Burton,Bradley,M,1.94,49.46,A2612394M,United Kingdom,Magnetic-Tape-Composer Operator,51620,Entertaining,-,20.0,1.0
109,Slater,Maria,F,1.68,60.6,G7178029A,Russia,Shoe-Repairer Helper,19261,Gardening,-,28.0,0.0
110,Robertson,Nancy,F,1.39,41.44,86220629E,South Africa,Char-Dust Cleaner And Salvager,25537,Traveling,-,27.0,0.0
111,Obrien,Barbara,F,1.7,39.32,47151296J,Chile,Customer-Equipment Engineer,141780,Theater,-,42.0,1.0
112,Johnson,Ralph,M,1.94,55.56,H2337436P,Thailand,Shop Supervisor,39809,Exercise,-,25.0,1.0
113,Bell,Brandon,M,1.91,48.36,37043024W,Indonesia,"Salesperson, Furs",91559,Working on Cars,Suzuki,15.0,0.0
114,Howe,Shirley,F,1.59,52.74,A9747427U,Egypt,Wharf Tender,13514,Playing Cards,-,30.0,1.0
115,Vasquez,Diane,F,1.39,39.32,F3414596I,France,Infantry Operations Specialist,182394,Family Time,-,35.0,0.0
116,Ewing,Anna,F,1.58,39.91,58624666Q,Romania,Farm-Equipment-Mechanic Apprentice,68964,Eating Out,-,35.0,1.0
117,Curtis,David,M,1.71,59.78,07900063N,Chile,Safe-Deposit-Box Rental Clerk,6520,Exercise,-,15.0,1.0
118,Walton,John,M,1.57,59.04,X2422143E,South Africa,Print-Line Operator,26846,Tennis,-,16.0,0.0
119,Weeks,Jerry,M,1.91,48.36,U1466849K,Thailand,"Engraver, Rubber",11081,Cooking,-,22.0,1.0
120,Donovan,Helen,F,1.69,39.32,U7919463J,Saudi Arabia,Screener Operator,59865,Playing Music,-,33.0,1.0
121,Rosario,Abigail,F,1.82,46.85,41619816C,Italy,Water-Meter Installer,16646,Skiing,-,29.0,1.0
122,Perry,Bradley,M,1.87,55.33,I6882922U,Argentina,"Lining Maker, Lockstitch",40390,Bowling,-,25.0,0.0
123,Lara,Raymond,M,1.67,74.16,Q3880548C,United Kingdom,Forms Analyst,10184,Billiards,-,20.0,0.0
124,Robinson,Dennis,M,1.75,52.77,E9588607L,Senegal,"Sewing-Machine Operator, Paper Bags",26014,Reading,-,20.0,1.0
125,Doyle,Terry,M,1.69,56.28,I7161182G,Denmark,Logging-Equipment Mechanic,11822,Shopping,-,36.0,0.0
126,Barlow,Nancy,F,1.69,40.84,51091294W,Bulgaria,"Supervisor, Word Processing",12259,Volunteer Work,-,32.0,0.0
127,Perez,Amber,F,1.77,48.63,F4706565B,India,Maintenance Inspector,22893,Entertaining,-,36.0,1.0
128,Turner,Megan,F,1.39,42.97,28125862E,Finland,Diesel-Engine Tester,122422,Traveling,-,21.0,0.0
129,Holt,Heather,F,1.39,40.97,P6415988J,Sweden,"Inspector, Motors And Generators",25324,Motorcycling,-,30.0,1.0
130,Jarvis,Christine,F,1.58,50.43,81931977N,Indonesia,Extractor Loader And Unloader,73480,Working on Cars,Aston Martin,37.0,1.0
131,Graves,Jeremy,M,1.94,64.58,54170139O,Chile,Gear Inspector,9213,Tennis,-,28.0,0.0
132,Newman,Angela,F,1.73,51.26,U9060353C,France,Taper,71847,Running,Pagani,38.0,0.0
133,Kinney,Aaron,M,1.94,68.34,P1572246S,Slovakia,Scroll Assembler,39961,Working on Cars,-,32.0,0.0
134,Love,Lawrence,M,1.94,48.36,23913814O,Malta,Corner Cutter,39880,Animal Care,-,17.0,1.0
135,Floyd,Aaron,M,1.64,63.65,P7631385X,South Africa,Second Helper,22278,Gardening,-,35.0,0.0
136,Clarke,Brandon,M,1.94,74.56,87502442E,Argentina,Lowerator Operator,88509,Computer Games,Saab,26.0,1.0
137,Mccall,Gerald,M,1.87,54.16,59272828Z,Romania,"Centrifuge Operator, Plasma Processing",10013,Bicycling,-,33.0,1.0
138,Garner,Samuel,M,1.52,66.11,R9156749O,Italy,Tare Weigher,196175,Fishing,Mini,31.0,1.0
139,Kent,Harold,M,1.85,48.36,E4646573K,Vietnam,Immigration Inspector,12321,Walking,-,23.0,0.0
140,Nolan,Albert,M,1.94,59.4,B7409152M,South Korea,Carpenter-Labor Supervisor,33519,Dancing,-,33.0,0.0
141,Roman,Eric,M,1.94,51.1,Q0234301G,United Kingdom,Cocoa-Powder-Mixer Operator,16478,Playing Cards,-,15.0,0.0
142,Sandoval,Alan,M,1.86,49.04,A7436522D,India,"Manager, Contracts",128620,Listening to Music,Jeep,32.0,2.0
143,Aguirre,Christian,M,1.53,65.16,J4047278F,South Korea,"Assembler, Internal Combustion Engine",21960,Working on Cars,-,46.0,1.0
144,Parrish,Bobby,M,1.6,48.36,D3313995D,Italy,Magistrate,30912,Relaxing,-,31.0,0.0
145,Whitfield,Sandra,F,1.68,43.21,I3082721Z,Singapore,"Inspector, Woodwind Instruments",20854,Hiking,-,34.0,0.0
146,Carlson,Nathan,M,1.52,69.69,R7278600R,Denmark,Computer Peripheral Equipment Operator,10174,Reading,-,18.0,1.0
147,Banks,Andrew,M,1.83,48.46,I2173018Y,United States of America,Wire-Transfer Clerk,56604,Crafts,Honda,19.0,0.0
148,Key,Laura,F,1.39,44.02,U2032211S,Greece,Embossing-Machine Tender,23965,Swimming,-,32.0,1.0
149,Rutledge,Rose,F,1.7,43.2,54141271P,South Africa,Fur-Storage Clerk,19497,Reading,-,38.0,1.0
150,Salazar,Ralph,M,1.77,48.81,F3947534C,Indonesia,Compensator,47989,Boating,-,27.0,0.0
151,Palmer,Joshua,M,1.94,80.83,44384311R,Lithuania,"Router Operator, Hand",87144,Volunteer Work,Mitsubishi,15.0,1.0
152,Simon,Megan,F,1.82,45.92,Y7990732H,Singapore,Block Feeder,61653,Relaxing,-,34.0,0.0
153,Hill,Matthew,M,1.67,52.95,Q8860676I,Russia,"Director, Community-Health Nursing",10094,Team Sports,-,28.0,0.0
154,Donaldson,Stephanie,F,1.72,48.65,I6554824R,Lithuania,Yard Inspector,11379,Swimming,-,32.0,1.0
155,Howell,Adam,M,1.74,62.45,23991871R,Poland,"Printer, Floor Covering",29800,Bowling,-,20.0,1.0
156,Mcclain,Ashley,F,1.72,39.32,M2722709F,Spain,"Inspector, Agricultural Commodities",142939,Theater,-,38.0,1.0
157,Travis,Philip,M,1.84,69.24,57994799F,Brazil,"Supervisor, Decorating",33563,Billiards,-,22.0,1.0
158,Ware,Ann,F,1.65,40.11,51110615R,Lithuania,Chemical-Processing Supervisor,15256,Sewing,-,24.0,1.0
159,Jones,Maria,F,1.74,50.77,66019168D,Portugal,Flame-Hardening-Machine Operator,9966,Relaxing,-,31.0,1.0
160,Lowe,Jerry,M,1.86,77.21,G5023992X,Slovenia,"Finisher, Fiberglass Boat Parts",52911,Reading,-,15.0,0.0
161,Witt,Billy,M,1.68,71.03,M5978357O,Latvia,Sample-Book Maker,22612,Painting,-,31.0,0.0
162,Le,Debra,F,1.45,61.41,V0266340J,Indonesia,Flower Picker,39878,Sewing,-,22.0,1.0
163,Rodriguez,Emily,F,1.62,40.93,42688440F,Senegal,Ticket Scheduler,52416,Skiing,-,40.0,1.0
164,Pollard,Tyler,M,1.79,48.36,74593609X,Germany,"Colorist, Photography",95454,Exercise,TATA Motors,28.0,0.0
165,Wells,Doris,F,1.65,39.32,X3824449F,Japan,Wet Mixer,14793,Motorcycling,-,17.0,1.0
166,Gay,Nicholas,M,1.62,65.76,Q4918928O,Czechia,Sorter,13593,Watching TV,-,27.0,2.0
167,Gutierrez,Ruth,F,1.75,39.32,B1933144L,Spain,Coal Sampler,26911,Volunteer Work,-,34.0,2.0
168,Maddox,Willie,M,1.77,54.99,U9618587F,Portugal,Geophysical-Laboratory Chief,12110,Working on Cars,-,32.0,1.0
169,Wong,Betty,F,1.68,39.32,36762832V,Czechia,"Supervisor, Split And Drum Room",33119,Painting,-,22.0,1.0
170,Ratliff,Ruth,F,1.65,44.14,50764578Z,Germany,Title Examiner,118534,Playing Cards,-,42.0,1.0
171,Conner,Paul,M,1.68,61.81,R6961410Y,Belgium,Burner,28067,Team Sports,-,35.0,0.0
172,Cherry,Michael,M,1.74,51.64,67933909K,Greece,Material-Handling Supervisor,34638,Walking,-,20.0,1.0
173,Daugherty,Larry,M,1.87,65.57,36392547A,Luxembourg,"Section Leader And Machine Setter, Polishing",132949,Skiing,-,36.0,0.0
174,Pearson,Dorothy,F,1.65,48.37,43462939J,Netherlands,Drier Tender I,73893,Tennis,Infiniti,25.0,1.0
175,Barlow,Hannah,F,1.67,47.86,C3703023Y,United Kingdom,"Tester, Electronic Scale",32289,Relaxing,-,21.0,2.0
176,Landry,Kimberly,F,1.76,51.9,38186775L,Croatia,Collator Operator,100600,Sleeping,-,39.0,0.0
177,Hunt,Sean,M,1.68,69.3,W4114450Q,Brazil,Chair Inspector And Leveler,88071,Walking,-,39.0,1.0
178,Hester,Diana,F,1.48,41.06,39755679D,Chile,Circular-Sawyer Helper,23424,Crafts,-,49.0,2.0
179,Dickerson,Scott,M,1.73,48.36,49466230N,Netherlands,Pumper Helper,24313,Bowling,-,34.0,0.0
180,Rosa,Scott,M,1.94,48.36,37622237M,Indonesia,Lost-Charge-Card Clerk,11960,Exercise,-,41.0,1.0
181,Howard,Maria,F,1.64,45.79,E4488740V,Sweden,"Finish Opener, Jewel Hole",32228,Bicycling,-,32.0,0.0
182,Goff,Johnny,M,1.74,56.81,44576009P,Germany,Carpet Cutter I,40690,Computer Games,-,29.0,1.0
183,Sykes,Dylan,M,1.76,63.61,68349236W,Slovenia,Blind-Slat-Stapling-Machine Operator,44080,Golf,Cadillac,27.0,1.0
184,Norris,Heather,F,1.47,39.32,49696235E,France,Process-Area Supervisor,8498,Going to Movies,-,35.0,1.0
185,George,Ethan,M,1.94,57.99,I6613562D,Brazil,Seed-Potato Arranger,86205,Crafts,-,27.0,1.0
186,Barr,Diane,F,1.67,43.07,59079823A,Indonesia,Zoologist,36331,Entertaining,-,37.0,1.0
187,Jacobs,Andrew,M,1.74,51.93,54892382E,Ireland,Line Maintainer,40439,Reading,-,24.0,1.0
188,Mcconnell,Barbara,F,1.81,54.32,06315068D,Malta,"Director, Summer Sessions",18084,Socializing,-,34.0,1.0
189,Fletcher,Andrew,M,1.79,48.36,L4820274H,Vietnam,"Cd-Reactor Operator, Head",55587,Housework,-,24.0,0.0
190,Oneill,Helen,F,1.75,53.25,21039956N,Thailand,Wool Puller,12257,Running,-,35.0,0.0
191,Byrd,Marilyn,F,1.73,39.5,53527705D,Argentina,Gold Burnisher,108242,Gardening,-,27.0,1.0
192,Moran,Danielle,F,1.7,39.32,D2623889T,Portugal,Gun-Repair Clerk,186296,Painting,-,30.0,1.0
193,Henry,Roger,M,1.78,55.41,D5285212X,Turkey,Orthotics Assistant,67008,Crafts,Subaru,28.0,1.0
194,Burch,Zachary,M,1.85,74.95,V2329065H,Australia,"Stitcher, Special Machine",71544,Theater,-,35.0,0.0
195,Marks,Emma,F,1.66,54.83,E9321569X,Cyprus,Pipe-Fitter Supervisor,43154,Beach,Jeep,30.0,0.0
196,Gray,Julia,F,1.64,41.06,08971538K,Austria,Briquette-Machine-Operator Helper,104734,Watching Sports,-,28.0,1.0
197,Valentine,Katherine,F,1.49,48.56,84921713Q,Germany,Dulser,33875,Listening to Music,-,23.0,0.0
198,Vazquez,Dennis,M,1.7,73.6,J7901775S,South Korea,Clip Coater,15075,Billiards,-,15.0,0.0
199,Merrill,Janet,F,1.39,40.46,S3724291U,Brazil,Pasting-Machine Operator,92744,Traveling,Dodge,25.0,0.0
200,Farmer,Diane,F,1.58,49.36,B6353011S,Mexico,Roller,28215,Painting,-,42.0,1.0
201,Tyler,Tyler,M,1.52,48.36,06889491P,Portugal,Upholstery Sewer,37506,Computer Games,-,22.0,1.0
202,Molina,Lisa,F,1.82,54.12,26455447T,Austria,Photostat-Operator Helper,10325,Cooking,-,48.0,1.0
203,Cameron,Kyle,M,1.61,68.61,T3597964X,Greece,"Cigar-Wrapper Tender, Automatic",105619,Bowling,-,30.0,1.0
204,Morales,Terry,M,1.94,48.36,75281020W,Japan,"Sales Representative, Radiographic-Inspection Equipment And Services",63293,Crafts,Peugeot,29.0,0.0
205,Walker,Roy,M,1.73,48.36,26328533T,Japan,Line Walker,31053,Camping,-,23.0,0.0
206,Holcomb,Lauren,F,1.72,50.06,G9408023J,Russia,Plumber Apprentice,41978,Dancing,-,37.0,0.0
207,Tran,Wayne,M,1.79,80.23,30947415Y,France,"Presser, Form",11507,Cooking,-,43.0,1.0
208,Mason,Kenneth,M,1.94,87.4,12852893K,Chile,Production-Machine Tender,93638,Going to Movies,Jeep,16.0,2.0
209,Woodward,Thomas,M,1.82,55.14,K1941319F,Japan,Mold Maker I,10067,Camping,-,34.0,1.0
210,Hardin,Larry,M,1.94,62.07,O8707046Z,Austria,Finisher Operator,51055,Reading,-,38.0,1.0
211,Stein,Samuel,M,1.63,56.34,I5786504U,Egypt,"Contour Wire Specialist, Denture",88327,Horseback Riding,-,45.0,1.0
212,Mcclure,Frances,F,1.53,43.23,F0630259J,Japan,Scrum Master,116925,Relaxing,-,29.0,2.0
213,Cummings,Linda,F,1.69,45.8,05534777N,France,Fire Captain,9012,Camping,-,31.0,1.0
214,Luna,Angela,F,1.73,49.52,83113129K,Luxembourg,Centrifugal-Casting-Machine Operator Ii,6549,Gardening,-,25.0,1.0
215,Little,Susan,F,1.82,54.36,I1859092D,Saudi Arabia,Athletic Trainer,45082,Watching TV,-,22.0,1.0
216,Mccall,Janice,F,1.65,43.32,N4530844A,Portugal,Marine Oiler,26245,Skiing,-,25.0,0.0
217,Wong,Christopher,M,1.83,56.31,79001850F,Russia,Customs Inspector,58580,Exercise,-,21.0,0.0
218,Oneill,Alexander,M,1.92,66.1,O6109215L,Romania,Ordnance Engineer,24981,Walking,-,29.0,0.0
219,Winters,Christopher,M,1.89,66.82,H6753323J,Spain,Rotary-Driller Helper,73017,Theater,Chevrolet,26.0,1.0
220,Joseph,Bradley,M,1.84,62.05,A4615706C,Germany,"Installer, Soft Top",26638,Swimming,-,27.0,0.0
221,Ayers,Vincent,M,1.74,48.36,09467182N,Portugal,Powder Loader,22419,Billiards,-,24.0,1.0
222,Tillman,Jonathan,M,1.79,53.71,L5423287M,Germany,Meter Reader,32773,Computer Games,-,30.0,1.0
